PV_MW,Bat_MWh,CAPEX,OPEX,Total_Cost,RE_Coverage,PV_Share,E_imp,E_exp,E_pv,E_demand,Scenario,tau
33.0,0.0,1676225.522935408,1247476.3034816948,2923701.8264171025,39.03215081361319,43.288023794364435,18846.003450176107,0.0,14385.078785154898,30911.379852947368,S2 τ=40,40
33.0,6.0,2618668.5034597805,1159768.6268791244,3778437.130338905,42.660237624044655,47.303104544826894,17724.511754808955,0.0,15910.319294937428,30911.379852947368,S2 τ=40,40
33.0,12.0,3561111.4839841537,1100451.7276946828,4661563.2116788365,45.111145417763346,49.96913185180963,16966.90233684708,0.0,16945.965788070273,30911.379852947368,S2 τ=40,40
44.0,0.0,2234967.3639138774,1090527.4940918884,3325494.858005766,46.65476748714342,50.37854217713282,16489.74745548708,0.0,16741.334779843924,30911.379852947368,S2 τ=40,40
44.0,6.0,3177410.34443825,993826.0531379948,4171236.397576245,50.76980207952768,54.807086782064175,15217.733481554993,0.0,18455.097938207287,30911.379852947368,S2 τ=40,40
44.0,12.0,4119853.324962623,927839.390731002,5047692.715693625,53.582074411725124,57.77771377510462,14348.421298450105,0.0,19634.630263523097,30911.379852947368,S2 τ=40,40
55.0,0.0,2793709.2048923466,980567.9730756112,3774277.1779679577,52.033266298217114,55.38159379640757,14827.179257609829,0.0,18403.902977721176,30911.379852947368,S2 τ=40,40
55.0,6.0,3736152.1854167194,879659.2064573703,4615811.39187409,56.40190868870534,59.998202598676556,13476.771613869136,0.0,20213.643540884033,30911.379852947368,S2 τ=40,40
55.0,12.0,4678595.165941092,811025.6430960883,5489620.809037181,59.35779970963559,63.05771293923912,12563.064912350219,0.0,21444.209438821104,30911.379852947368,S2 τ=40,40
66.0,0.0,3352451.045870816,900894.3453993652,4253345.391270181,55.923339738384826,59.00011987730179,13624.703879960973,0.0,19606.378355370034,30911.379852947368,S2 τ=40,40
66.0,6.0,4294894.026395189,797297.0918820461,5092191.118277235,60.44515320108715,63.71866666116911,12226.948944263342,0.0,21473.435851620612,30911.379852947368,S2 τ=40,40
66.0,12.0,5237337.006919561,726799.3499125564,5964136.356832117,63.54643608868938,66.88032127955721,11268.299610562159,0.0,22754.674179962298,30911.379852947368,S2 τ=40,40
77.0,0.0,3911192.886849285,840213.8914131791,4751406.778262464,58.90911838008246,61.77747564010046,12701.758502457642,0.0,20529.323732873367,30911.379852947368,S2 τ=40,40
77.0,6.0,4853635.867373658,733722.8321321019,5587358.69950576,63.596697594315046,66.61926466354231,11252.763085638406,0.0,22457.588026214995,30911.379852947368,S2 τ=40,40
77.0,12.0,5796078.847898031,661383.3716255613,6457462.219523592,66.82940041172586,69.88114526648333,10253.490038231614,0.0,23789.93601150258,30911.379852947368,S2 τ=40,40
88.0,0.0,4469934.727827755,792771.6456641974,5262706.373491952,61.275486463515406,63.9786589232954,11970.281475468773,0.0,21260.80075986223,30911.379852947368,S2 τ=40,40
88.0,6.0,5412377.708352128,683886.4755984531,6096264.183950581,66.08777091639132,68.91186814549938,10482.737948635971,0.0,23236.68268975273,30911.379852947368,S2 τ=40,40
88.0,12.0,6354820.6888765,610171.5464713805,6964992.235347881,69.42119054985454,72.24740340055635,9452.331943643425,0.0,24606.93854578139,30911.379852947368,S2 τ=40,40
99.0,0.0,5028676.568806224,754003.1657800614,5782679.734586285,63.21111197200827,65.7791677036704,11371.952922008,0.0,21859.129313323003,30911.379852947368,S2 τ=40,40
99.0,6.0,5971119.549330596,643606.426066635,6614725.975397231,68.1021018074295,70.76311018854778,9860.080475411898,0.0,23864.712206023254,30911.379852947368,S2 τ=40,40
99.0,12.0,6913562.529854969,568738.2935893446,7482300.823444313,71.50860230682574,74.14931699406287,8807.084166350984,0.0,25261.973754974584,30911.379852947368,S2 τ=40,40
0.0,0.0,0.0,2867968.2849099822,2867968.2849099822,-7.504363743770104,0.0,33231.08223533101,0.0,0.0,30911.379852947368,S0 τ=60,60
0.0,0.0,0.0,2867968.2849099822,2867968.2849099822,-7.504363743770104,0.0,33231.08223533101,0.0,0.0,30911.379852947368,S1 τ=60,60
2.0,0.0,101589.42563244897,2722149.902159184,2823739.327791633,-2.103604519817788,5.023758139552999,31561.633036672014,0.0,1669.4491986589924,30911.379852947368,S1 τ=60,60
4.0,0.0,203178.85126489794,2598306.7496419353,2801485.600906833,2.4552889111080525,9.264417097166723,30152.416171147463,0.0,3078.6660641835388,30911.379852947368,S1 τ=60,60
6.0,0.0,304768.2768973469,2496201.3119034935,2800969.5888008405,6.234323661636595,12.779655566495887,28984.264384636703,0.0,4246.817850694305,30911.379852947368,S1 τ=60,60
8.0,0.0,406357.7025297959,2405752.9186929436,2812110.6212227396,9.60256467800554,15.912775840940679,27943.094609704123,0.0,5287.987625626883,30911.379852947368,S1 τ=60,60
10.0,0.0,507947.12816224486,2322617.9512338904,2830565.079396135,12.715660282804334,18.80856118061178,26980.79380211936,0.0,6250.288433211645,30911.379852947368,S1 τ=60,60
12.0,0.0,609536.5537946938,2244388.299855717,2853924.8536504107,15.652170451679966,21.54008766624786,26073.077989397785,0.0,7158.004245933218,30911.379852947368,S1 τ=60,60
14.0,0.0,711125.9794271428,2169738.214710131,2880864.1941372734,18.458404642112427,24.150432114330865,25205.632279229925,0.0,8025.449956101076,30911.379852947368,S1 τ=60,60
16.0,0.0,812715.4050595918,2098700.008979274,2911415.414038866,21.135894417109853,26.64101917680497,24377.983244356645,0.0,8853.098990974364,30911.379852947368,S1 τ=60,60
18.0,0.0,914304.8306920407,2031097.0740057887,2945401.9046978294,23.685293918574622,29.012457333065388,23589.928680489724,0.0,9641.153554841281,30911.379852947368,S1 τ=60,60
20.0,0.0,1015894.2563244897,1966729.2376200103,2982623.4939445,26.11785515632667,31.275213144122425,22837.99043613263,0.0,10393.091799198375,30911.379852947368,S1 τ=60,60
22.0,0.0,1117483.6819569387,1905421.9404967965,3022905.622453735,28.436628659347296,33.432124196167976,22121.22555068443,0.0,11109.856684646576,30911.379852947368,S1 τ=60,60
24.0,0.0,1219073.1075893876,1847215.838245087,3066288.9458344746,30.63738277129306,35.47925422448117,21440.942087511517,0.0,11790.140147819486,30911.379852947368,S1 τ=60,60
26.0,0.0,1320662.5332218367,1792288.4992836039,3112951.0325054405,32.712997410018836,37.40998016568377,20799.340962251612,0.0,12431.741273079393,30911.379852947368,S1 τ=60,60
28.0,0.0,1422251.9588542855,1740913.4139188493,3163165.372773135,34.650179124423424,39.21193652070369,20200.53136407017,0.0,13030.550871260835,30911.379852947368,S1 τ=60,60
30.0,0.0,1523841.3844867346,1692258.922416549,3216100.3069032836,36.483210963738664,40.91701320362248,19633.91592939397,0.0,13597.166305937033,30911.379852947368,S1 τ=60,60
32.0,0.0,1625430.8101191835,1646347.78865342,3271778.5987726036,38.20905611623125,42.522385387960995,19100.433378633308,0.0,14130.648856697695,30911.379852947368,S1 τ=60,60
34.0,0.0,1727020.2357516324,1603033.1064534036,3330053.342205036,39.831284774223214,44.03137404804781,18598.98011607804,0.0,14632.102119252962,30911.379852947368,S1 τ=60,60
36.0,0.0,1828609.6613840815,1562339.8547271786,3390949.5161112603,41.35013368552693,45.444199405466605,18129.482959712594,0.0,15101.599275618413,30911.379852947368,S1 τ=60,60
38.0,0.0,1930199.0870165303,1523473.2274872032,3453672.3145037335,42.79949527760633,46.79238801996216,17681.465292542205,0.0,15549.6169427888,30911.379852947368,S1 τ=60,60
40.0,0.0,2031788.5126489794,1486771.07460735,3518559.587256329,44.17073228092587,48.06790554833692,17257.59701376193,0.0,15973.485221569075,30911.379852947368,S1 τ=60,60
42.0,0.0,2133377.9382814285,1452288.8056763136,3585666.743957742,45.45959922482176,49.266802875861046,16859.190456935197,0.0,16371.891778395806,30911.379852947368,S1 τ=60,60
44.0,0.0,2234967.3639138774,1420322.4432016378,3655289.807115515,46.65476748714342,50.37854217713282,16489.74745548708,0.0,16741.334779843924,30911.379852947368,S1 τ=60,60
46.0,0.0,2336556.7895463263,1390162.2254805989,3726719.015026925,47.78556909330373,51.43040794962883,16140.201075623634,0.0,17090.881159707373,30911.379852947368,S1 τ=60,60
48.0,0.0,2438146.215178775,1361944.5312393582,3800090.7464181334,48.846650710687534,52.417420551194304,15812.206106324329,0.0,17418.876129006676,30911.379852947368,S1 τ=60,60
