Taille PV (MW),Nombre de navires,Bilan Net (k€)
6,29,2955.3029033023495
7,29,2895.5756889923496
8,29,2835.29915269235
9,29,2771.4320335223497
10,29,2710.03784835235
1,30,3307.4903970686682
2,30,3235.934910708668
3,30,3167.602278988669
4,30,3111.639532958668
5,30,3052.2682868486686
6,30,2994.5684269086687
7,30,2934.8426863286686
8,30,2873.8939051386683
9,30,2810.0280123286684
10,30,2748.636237088668
1,31,3346.4500115356054
2,31,3274.8945251756054
3,31,3206.5605644656057
4,31,3150.582526445605
5,31,3091.213001555606
6,31,3033.5148628456063
7,31,2973.790843475606
8,31,2912.8437834956053
9,31,2848.9796119056055
10,31,2787.5895578756054
1,32,3381.5206931095563
2,32,3309.8162911195554
3,32,3241.278876059556
4,32,3183.687616029556
5,32,3124.300462979556
6,32,3066.878109559556
7,32,3007.2212564895563
8,32,2946.291055319556
9,32,2883.028189619556
10,32,2822.272496129556
1,33,3414.1257597318777
2,33,3342.3777596418777
3,33,3273.2583927218775
4,33,3214.5702614918773
5,33,3154.6312767018785
6,33,3096.983743641878
7,33,3036.5216629518777
8,33,2975.546777861877
9,33,2912.3591363418777
10,33,2851.6034318318775
1,34,3446.0770574693383
2,34,3374.3290573793383
3,34,3305.209690459338
4,34,3246.5215592193385
5,34,3186.5825744393383
6,34,3128.9350413793386
7,34,3068.472960689338
8,34,3007.498075599338
9,34,2944.310434069338
10,34,2883.5547295593383
1,35,3475.3790517760362
2,35,3403.435718266036
3,35,3333.886452266036
4,35,3274.4002405460365
5,35,3214.8050401860364
6,35,3156.9935119760357
7,35,3096.684250396036
8,35,3035.8286718060363
9,35,2974.169554206036
10,35,2911.133660886036
1,36,3504.016780905403
2,36,3432.0734473954026
3,36,3362.5241813954026
4,36,3303.037969675403
5,36,3243.427820895403
6,36,3185.583250645403
7,36,3125.2103847054027
8,36,3064.272036795403
9,36,3002.648548505403
10,36,2939.587315215402
1,37,3527.451524624094
2,37,3455.508191114094
3,37,3385.9408158140936
4,37,3326.4389964540946
5,37,3266.8151873340944
6,37,3208.954650374094
7,37,3148.441721194094
8,37,3087.541468124094
9,37,3025.4716759440935
10,37,2962.4099849140944
1,38,3552.157136328622
2,38,3480.2138028186223
3,38,3410.631717458622
4,38,3351.1029499286224
5,38,3291.4790187186222
6,38,3233.6213731186217
7,38,3173.0603257186226
8,38,3112.193997428622
9,38,3050.139323938622
10,38,2987.080524258623
1,39,3576.8974695280767
2,39,3504.9541360180765
3,39,3435.3720506580767
4,39,3375.843283128076
5,39,3316.219351908076
6,39,3258.3617063180764
7,39,3197.786475508077
8,39,3136.920627068076
9,39,3074.8664334380765
10,39,3011.8081136480764
1,40,3595.854478462837
2,40,3523.911144952837
3,40,3454.3290595928365
4,40,3394.800292062837
5,40,3335.1763608528368
6,40,3277.318715262836
7,40,3216.743484442837
8,40,3155.8776360128363
9,40,3093.8234423828367
10,40,3030.7651225928366
1,41,3619.819142760116
2,41,3547.875809250116
3,41,3478.293723890116
4,41,3418.7649563601162
5,41,3359.141025140116
6,41,3301.2833795501156
7,41,3240.7081487401165
8,41,3179.8423003001158
9,41,3117.788106670116
10,41,3054.726807390116
1,42,3641.035584912613
2,42,3568.9783322526137
3,42,3499.3088766126134
4,42,3438.7895345826137
5,42,3379.1005742726134
6,42,3321.5025878726137
7,42,3261.074736782614
8,42,3200.6266326926134
9,42,3140.5383430826137
10,42,3077.442319562613
1,43,3660.0125171368823
2,43,3587.9483295968816
3,43,3518.1698335768815
4,43,3457.516792116882
5,43,3397.721918896882
6,43,3337.8757398168823
7,43,3278.2142160368817
8,43,3217.7775912768816
9,43,3157.685900436882
10,43,3094.586475676882
1,44,3680.2538466228657
2,44,3608.189659082866
3,44,3538.411163062866
4,44,3477.7502348828657
5,44,3417.946363042866
6,44,3357.938145652866
7,44,3298.2473581228655
8,44,3237.745143422866
9,44,3177.4983376728655
10,44,3114.3992738928655
1,45,3698.5888913374206
2,45,3626.524703797421
3,45,3556.7462077774208
4,45,3496.085279607421
5,45,3436.250074237421
6,45,3376.2409911374207
7,45,3316.520677137421
8,45,3256.0207740974206
9,45,3195.776280047421
10,45,3132.6648001974204
1,46,3714.2144569957804
2,46,3642.1502694557803
3,46,3572.15957829578
4,46,3511.57961624578
5,46,3451.7536109057805
6,46,3391.0875345257805
7,46,3331.3666948157806
8,46,3270.8662660757805
9,46,3210.552185335781
10,46,3147.4401787157803
1,47,3730.0381217756385
2,47,3657.973934235638
3,47,3587.983243075638
4,47,3527.4032810156377
5,47,3467.5772756756382
6,47,3406.9111992956387
7,47,3347.190359595638
8,47,3286.6899308456377
9,47,3226.375850105638
10,47,3163.2638434856385
1,48,3744.185853564673
2,48,3672.121666024673
3,48,3602.130974864672
4,48,3541.5510128046726
5,48,3481.725007464673
6,48,3421.0589310846735
7,48,3361.3380913846727
8,48,3300.8376626346726
9,48,3240.523581894673
10,48,3177.4115752746734
1,49,3757.3932593924505
2,49,3685.2507756024506
3,49,3615.19879045245
4,49,3554.3661061624503
5,49,3494.51191200245
6,49,3434.6423919524505
7,49,3374.8738482924505
8,49,3314.485949272451
9,49,3254.1937444224504
10,49,3190.3014943024505
1,50,3770.96239569282
2,50,3698.81991191282
3,50,3628.767926752819
4,50,3567.9352424628196
5,50,3508.08104830282
6,50,3448.2115282528193
7,50,3388.4429846028197
8,50,3328.05508557282
9,50,3267.76288073282
10,50,3203.87063060282
1,51,3783.2190411046427
2,51,3711.0765573246426
3,51,3641.0245721646424
4,51,3580.1918878746424
5,51,3520.3376937146427
6,51,3460.4681736646426
7,51,3400.699630004643
8,51,3340.311730984643
9,51,3280.0132318746428
10,51,3216.1213370446426
1,52,3795.101294094531
2,52,3722.9588103045307
3,52,3652.682089804531
4,52,3591.736312094531
5,52,3532.059205854531
6,52,3470.907274754531
7,52,3412.1377732145306
8,52,3353.0979489845313
9,52,3292.898758474531
10,52,3229.195045434531
1,53,3806.0776136441477
2,53,3733.909577134147
3,53,3663.789046134147
4,53,3601.2676240641476
5,53,3542.504768874148
6,53,3481.080681864147
7,53,3424.1230257841476
8,53,3365.422201284148
9,53,3304.393677574148
10,53,3240.863630224148
1,54,3817.0085007970056
2,54,3744.840464287005
3,54,3674.7199332870055
4,54,3612.1985112270054
5,54,3553.435656027006
6,54,3492.011569027006
7,54,3435.0539129370054
8,54,3376.3530884470056
9,54,3315.3245647270055
10,54,3251.794517377005
1,55,3827.286523090719
2,55,3755.1184865807186
3,55,3684.9979555807195
4,55,3622.476533520719
5,55,3563.689076180719
6,55,3502.184709860719
7,55,3445.1912474107194
8,55,3386.489335830719
9,55,3325.4463942107195
10,55,3261.968401920719
1,56,3836.924877371374
2,56,3764.7568408613743
3,56,3694.6251099013743
4,56,3632.0124420513744
5,56,3573.2750579713743
6,56,3511.7607034813736
7,56,3454.754349221374
8,56,3396.055593541374
9,56,3334.9982054613747
10,56,3270.818955251374
1,57,3845.9920698615524
2,57,3773.824033351552
3,57,3703.678949941552
4,57,3641.0336965315523
5,57,3582.248839761552
6,57,3520.787368281552
7,57,3463.784155651552
8,57,3405.072218371552
9,57,3344.000275581552
10,57,3279.650121821552
1,58,3851.996463769672
2,58,3779.8284272596716
3,58,3709.683343849672
4,58,3647.038090449672
5,58,3588.2532336696718
6,58,3526.7917621996717
7,58,3469.7885495596715
8,58,3411.0766122896716
9,58,3350.004669499672
10,58,3285.6545157396718
1,59,3855.824883159491
2,59,3783.656846649491
3,59,3713.5117632394913
4,59,3650.8665098394913
5,59,3592.081653059491
6,59,3530.620181589491
7,59,3473.6169689494914
8,59,3414.905031679491
9,59,3353.8330888894916
10,59,3289.482935129491
1,60,3859.4631152358334
2,60,3787.295078725833
3,60,3717.1499953158336
4,60,3654.5047419058337
5,60,3595.719885135833
6,60,3534.2584136658334
7,60,3477.2552010258332
8,60,3418.543263745833
9,60,3357.4713209658335
10,60,3293.1211672058334
1,61,3861.9003847924373
2,61,3789.7323482824363
3,61,3719.5872648724367
4,61,3656.942011472437
5,61,3598.157154692437
6,61,3536.695683222437
7,61,3479.6667433224366
8,61,3420.955089972437
9,61,3359.883431092437
10,61,3295.533561252437
1,62,3864.464928748662
2,62,3792.231204108661
3,62,3722.0014280586615
4,62,3658.9468163986617
5,62,3600.2224413486615
6,62,3539.078508668661
7,62,3483.423893438661
8,62,3424.2462532086615
9,62,3364.204879428662
10,62,3299.8632981086616
1,63,3866.7647041470063
2,63,3794.5309795070066
3,63,3724.2965123570066
4,63,3661.231738657007
5,63,3602.507363607007
6,63,3540.7155541270067
7,63,3485.5796202570064
8,63,3426.401973687007
9,63,3366.5875748170065
10,63,3302.2459907370067
1,64,3869.0040868699766
2,64,3796.770362229976
3,64,3726.535895089976
4,64,3663.471121389977
5,64,3604.7467463399767
